"Archivo","Lineas"
"src\services\api\usuarios.ts","80"
"src\services\core\queryFactory.test.ts","79"
"src\features\dashboard\DashboardPage.tsx","79"
"src\test\fakeApi.ts","79"
"src\services\api\controlSalida.test.ts","78"
"src\features\parqueaderos\components\ParqueaderosTopbar.tsx","78"
"src\routes\ProtectedRoute.tsx","76"
"src\features\conductores\hooks\useConductoresFilters.ts","76"
"src\features\conductores\ConductoresPage.test.tsx","76"
"src\features\conductores\components\ConductoresToolbar.tsx","75"
"src\features\auth\components\ResetPasswordFields.tsx","75"
"src\features\controlSalida\components\ControlSalidaToolbar.tsx","74"
"src\layouts\components\MobileHeader.tsx","74"
"src\features\conductores\components\ConductoresResults.tsx","74"
"src\features\parqueaderos\components\map\ParkingCell.tsx","74"
"src\features\dashboard\components\ParqueaderosPanel.tsx","73"
"coverage\block-navigation.js","73"
"src\features\reservas\components\ReservasHero.tsx","73"
"src\features\auth\Register.test.tsx","72"
"src\features\reservas\components\ReservasTable.tsx","72"
"src\components\data\DataToolbar.test.tsx","71"
"src\features\controlSalida\components\ControlSalidaTable.tsx","71"
"src\components\shared\Modal.test.tsx","71"
"src\services\api\auth.test.ts","70"
"src\features\parqueaderos\lib\ocrAdapter.ts","70"
"src\components\shared\ConfirmDialog.tsx","69"
"src\routes\notFound\NotFoundActionCard.tsx","69"
"src\features\reservas\ReservasPage.tsx","69"
"src\features\parqueaderos\hooks\useParqueaderosPage.ts","69"
"src\services\api\roles.ts","68"
"src\features\landing\lib\content.ts","68"
"src\features\auth\components\ResetPasswordLeftPanel.tsx","68"
"src\features\parqueaderos\components\modals\ScannerModal.tsx","68"
"src\features\auth\hooks\useForgotPasswordForm.ts","67"
"src\features\auth\Register.tsx","67"
"src\features\landing\components\FeaturesSection.tsx","66"
"src\features\auth\components\ForgotPasswordLeftPanel.tsx","66"
"src\features\parqueaderos\hooks\useParqueaderosData.ts","66"
"src\features\landing\components\CtaSection.tsx","65"
"src\features\dashboard\components\ReservasIncidentesPanel.tsx","65"
"src\services\api\reservas.test.ts","65"
"src\features\parqueaderos\components\map\useParkingMapInteraction.ts","64"
"src\routes\ProtectedRoute.test.tsx","64"
"src\features\landing\components\LandingFooter.tsx","62"
"src\features\auth\ForgotPassword.test.tsx","62"
"src\features\auth\Login.tsx","62"
"src\features\reservas\components\ReservasToolbar.tsx","62"
"src\features\incidentes\components\IncidentesHero.tsx","62"
"src\features\auth\Login.test.tsx","61"
"src\features\parqueaderos\components\map\MapLegend.tsx","61"
"src\features\usuarios\components\UsuarioFormModal.tsx","61"
"src\services\api\conductores.test.ts","61"
"src\features\roles\lib\permisos.ts","59"
"src\features\controlSalida\components\ControlSalidaHero.tsx","58"
"src\features\parqueaderos\hooks\useModalController.ts","58"
"src\features\usuarios\components\UsuariosResults.tsx","58"
"src\features\roles\RolesPage.tsx","57"
"src\features\controlSalida\components\ControlSalidaPagination.tsx","57"
"src\features\controlSalida\ControlSalidaPage.test.tsx","57"
"src\layouts\components\NavItem.tsx","56"
"src\features\incidentes\components\IncidentesGrid.tsx","56"
"src\features\auth\components\LoginEmailField.tsx","56"
"src\routes\NotFound.tsx","56"
"src\features\parqueaderos\components\map\CeldaHoverTooltip.tsx","55"
"src\features\controlSalida\ControlSalidaPage.tsx","55"
"src\features\dashboard\components\PanoramaPanel.tsx","55"
"src\services\api\roles.test.ts","55"
"src\features\landing\LandingPage.test.tsx","55"
"src\test\setup.ts","55"
"src\components\data\DataList.tsx","54"
"src\features\dashboard\lib\helpers.ts","54"
"src\features\usuarios\components\DatosPersonalesFields.tsx","54"
"src\test\crudContract.ts","54"
"src\features\parqueaderos\hooks\useParqueaderosFilters.ts","54"
"src\features\conductores\components\DiscapacidadFields.tsx","54"
"src\features\roles\components\RolesGrid.tsx","54"
"src\features\auth\ResetPassword.tsx","52"
"src\features\usuarios\components\UsuariosToolbar.tsx","52"
"src\styles\theme.ts","52"
"src\services\api\vehiculos.test.ts","52"
"src\features\perfil\hooks\useFotoPerfil.ts","51"
"src\features\parqueaderos\components\map\useMapLayout.ts","51"
"src\features\usuarios\lib\helpers.ts","51"
"src\layouts\components\SidebarNav.tsx","50"
"src\features\dashboard\components\MovimientosPanel.tsx","50"
"src\features\incidentes\components\ConfirmDeleteIncidenteModal.tsx","50"
"src\features\parqueaderos\hooks\useIncidenteReporte.ts","48"
"src\services\api\ocr.test.ts","48"
"src\features\auth\hooks\useResetPasswordForm.ts","48"
"src\features\dashboard\DashboardPage.test.tsx","48"
"src\components\shared\ErrorBoundary.test.tsx","47"
"src\features\dashboard\components\DashboardHeader.tsx","47"
"src\features\usuarios\hooks\useUsuariosFilters.ts","46"
"src\utils\validation.ts","46"
"src\features\perfil\hooks\usePasswordChange.ts","45"
"src\services\core\tokenStorage.ts","45"
"src\features\perfil\PerfilPage.tsx","45"
"src\services\api\incidentes.test.ts","45"
"src\features\conductores\hooks\useConductoresPage.ts","45"
"src\features\parqueaderos\lib\styles.ts","44"
"src\features\landing\components\StatCard.tsx","42"
"src\features\reservas\lib\styles.ts","42"
"src\features\perfil\components\SeguridadCard.tsx","41"
"src\features\perfil\hooks\usePerfilForm.ts","41"
"src\components\data\DataGrid.test.tsx","41"
"src\features\reservas\components\ConfirmDeleteReservaModal.tsx","40"
"src\services\core\queryFactory.ts","40"
"src\layouts\lib\styles.ts","39"
"src\features\landing\LandingPage.tsx","39"
"src\features\landing\components\HeroSection.tsx","39"
"src\utils\format.test.ts","39"
"vitest.config.ts","38"
"src\features\auth\components\TerminosCheckbox.tsx","38"
"src\components\data\StatsPanel.test.tsx","37"
"src\features\conductores\hooks\useConductoresData.ts","37"
"src\features\dashboard\components\EntradasSalidasPanel.tsx","37"
"src\features\parqueaderos\components\ParqueaderosHero.tsx","37"
"src\services\api\celdas.test.ts","36"
"src\components\shared\FormField.tsx","36"
"src\components\shared\StatusBadge.tsx","36"
"src\services\api\usuarios.test.ts","36"
"src\components\data\DataGrid.tsx","36"
"src\layouts\lib\menu.ts","35"
"src\components\scanner\CameraScanner.test.tsx","35"
"src\components\data\DataList.test.tsx","35"
"src\features\incidentes\lib\constants.tsx","35"
"src\features\controlSalida\lib\helpers.ts","34"
"src\layouts\hooks\useMainLayoutState.ts","34"
"src\features\reservas\hooks\useReservaAutoExpiry.ts","34"
"src\features\parqueaderos\components\map\CeldaBadges.tsx","34"
"src\features\parqueaderos\components\map\MapSvgDefs.tsx","34"
"src\features\parqueaderos\components\map\MapControls.tsx","34"
"src\layouts\components\Sidebar.tsx","34"
"src\features\incidentes\components\IncidenteBadges.tsx","33"
"vite.config.ts","32"
"src\features\landing\hooks\useLandingPage.ts","32"
"src\features\parqueaderos\hooks\useParqueaderos.ts","31"
"src\utils\format.ts","31"
"src\features\dashboard\components\DistribucionPanel.tsx","31"
"src\routes\RouteFallback.tsx","31"
